record_date,department,student_type,date,time_in,time_out
2019/08/26 3:46:10 PM MDT,geog,Undergraduate student,8/21/2019,14:30,17:00
2019/11/26 5:14:40 PM MST,math,Undergraduate student,8/21/2019,16:19,17:00
2019/11/26 5:14:55 PM MST,math,Undergraduate student,8/21/2019,16:25,17:00
2019/11/26 5:15:23 PM MST,geog,Undergraduate student,8/22/2019,13:45,14:35
2019/11/26 5:15:44 PM MST,physics,Undergraduate student,8/22/2019,13:55,
2019/11/26 5:16:01 PM MST,geog,Undergraduate student,8/22/2019,13:56,16:00
2019/11/26 5:11:58 PM MST,engineering,Undergraduate student,8/26/2019,15:02,16:55
2019/11/26 5:12:15 PM MST,pstat / stats / actuarial,Undergraduate student,8/26/2019,15:50,
2019/11/26 5:16:22 PM MST,history,Undergraduate student,8/26/2019,13:00,
2019/11/26 5:16:35 PM MST,econ,Undergraduate student,8/26/2019,13:00,
2019/11/26 5:16:54 PM MST,computer science,Undergraduate student,8/26/2019,13:00,
2019/11/26 5:17:09 PM MST,computer science,Undergraduate student,8/26/2019,13:00,
2019/11/26 5:17:33 PM MST,pstat / stats / actuarial,Undergraduate student,8/26/2019,13:40,16:40
2019/11/26 5:13:12 PM MST,psychology,Undergraduate student,8/27/2019,14:15,15:00
2019/11/26 5:13:43 PM MST,geog,Undergraduate student,8/28/2019,15:10,
2019/11/26 5:14:23 PM MST,earth sciences,Undergraduate student,8/28/2019,15:15,16:15
2019/11/26 5:17:01 PM MST,pstat / stats / actuarial,Undergraduate student,8/28/2019,14:00,
2019/11/26 5:17:17 PM MST,pstat / stats / actuarial,Undergraduate student,8/28/2019,14:00,
2019/11/26 5:14:45 PM MST,econ,Undergraduate student,8/29/2019,13:09,16:24
2019/11/26 5:15:16 PM MST,geog,Undergraduate student,8/29/2019,14:30,
2019/11/26 5:15:39 PM MST,pstat / stats / actuarial,Undergraduate student,8/29/2019,14:00,
2019/11/26 5:16:07 PM MST,geog,Undergraduate student,8/29/2019,14:00,14:20
2019/11/26 5:17:39 PM MST,econ,Undergraduate student,8/30/2019,13:45,15:56
2019/11/26 5:18:02 PM MST,history of art/architecture,Undergraduate student,9/4/2019,16:00,17:00
2019/11/26 5:18:33 PM MST,geog,Undergraduate student,9/4/2019,13:00,17:00
2019/11/26 5:18:59 PM MST,ece,Undergraduate student,9/5/2019,13:45,16:20
2019/11/26 5:19:20 PM MST,history of art/architecture,Undergraduate student,9/5/2019,16:00,17:00
2019/11/26 5:19:47 PM MST,geog,Undergraduate student,9/8/2019,13:10,16:15
2019/11/26 5:20:36 PM MST,linguistics,Undergraduate student,9/9/2019,15:28,16:18
2019/11/26 5:20:57 PM MST,geog,Undergraduate student,9/10/2019,13:45,15:30
2019/11/26 5:21:36 PM MST,communication,Undergraduate student,9/10/2019,14:48,15:27
2019/11/26 5:21:56 PM MST,pstat / stats / actuarial,Undergraduate student,9/10/2019,15:40,
2019/11/26 5:22:24 PM MST,math,Undergraduate student,9/10/2019,15:40,
2019/11/26 5:22:48 PM MST,linguistics,Undergraduate student,9/11/2019,13:38,14:20
2019/11/26 5:23:10 PM MST,psychology,Undergraduate student,9/11/2019,13:44,
2019/11/26 5:23:38 PM MST,psychology,Undergraduate student,9/11/2019,14:00,17:00
2019/11/26 5:24:02 PM MST,computer science,Undergraduate student,9/11/2019,14:25,15:00
2019/11/26 5:16:40 PM MST,history of art/architecture,Undergraduate student,9/12/2019,14:00,17:00
2019/11/26 5:24:23 PM MST,geog,Undergraduate student,9/12/2019,13:30,13:40
2019/11/26 5:25:10 PM MST,physics,Undergraduate student,9/12/2019,16:20,
2019/11/26 5:25:29 PM MST,pstat / stats / actuarial,Undergraduate student,9/13/2019,14:20,15:30
